category,commonMistakes,description,difficulty,equipment,force,gifUrl,id,imageUrl,instructions,isEnriched,mechanic,name,nameHi,nameHindi,nameMarathi,nameMr,overview,primaryMuscles,safetyTips,secondaryMuscles,source,videoUrl
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,intermediate,kettlebells,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Kettlebell%20Thruster.gif,yuhonas_Kettlebell_Thruster,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Kettlebell_Thruster/0.jpg,"Clean two kettlebells to your shoulders. Clean the kettlebells to your shoulders by extending through the legs and hips as you pull the kettlebells towards your shoulders. Rotate your wrists as you do so. This will be your starting position.; Begin to squat by flexing your hips and knees, lowering your hips between your legs. Maintain an upright, straight back as you descend as low as you can.; At the bottom, reverse direction and squat by extending your knees and hips, driving through your heels. As you do so, press both kettlebells overhead by extending your arms straight up, using the momentum from the squat to help drive the weights upward.; As you begin the next repetition, return the weights to the shoulders.",,compound,Kettlebell Thruster,,Kettlebell Thruster,Kettlebell Thruster,,,shoulders,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,quadriceps; triceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,intermediate,kettlebells,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Kettlebell%20Turkish%20Get-Up%20(Lunge%20style).gif,yuhonas_Kettlebell_Turkish_Get-Up_Lunge_style,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Kettlebell_Turkish_Get-Up_Lunge_style/0.jpg,"Lie on your back on the floor and press a kettlebell to the top position by extending the elbow. Bend the knee on the same side as the kettlebell.; Keeping the kettlebell locked out at all times, pivot to the opposite side and use your non- working arm to assist you in driving forward to the lunge position. Using your free hand, push yourself to a seated position, then progressing to one knee.; While looking up at the kettlebell, slowly stand up. Reverse the motion back to the starting position and repeat.",,compound,Kettlebell Turkish Get-Up (Lunge style),,Kettlebell Turkish Get-Up (Lunge style),Kettlebell Turkish Get-Up (Lunge style),,,shoulders,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,abdominals; hamstrings; quadriceps; triceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,intermediate,kettlebells,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Kettlebell%20Turkish%20Get-Up%20(Squat%20style).gif,yuhonas_Kettlebell_Turkish_Get-Up_Squat_style,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Kettlebell_Turkish_Get-Up_Squat_style/0.jpg,"Lie on your back on the floor and press a kettlebell to the top position by extending the elbow. Bend the knee on the same side as the kettlebell.; Keeping the kettlebell locked out at all times, pivot to the opposite side and use your non- working arm to assist you in driving forward to the lunge position.; Using your free hand, push yourself to a seated position, then progressing to your feet. While looking up at the kettlebell, slowly stand up. Reverse the motion back to the starting position and repeat.",,compound,Kettlebell Turkish Get-Up (Squat style),,à¤¸à¥à¤•à¥à¤µà¤¾à¤Ÿ,à¤¸à¥à¤•à¥à¤µà¤¾à¤Ÿ,,,shoulders,Maintain a neutral spine; Keep your knees aligned with your toes; Distribute weight through your heels; Brace your core before descending,abdominals; calves; hamstrings; quadriceps; triceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,intermediate,kettlebells,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Kettlebell%20Windmill.gif,yuhonas_Kettlebell_Windmill,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Kettlebell_Windmill/0.jpg,"Place a kettlebell in front of your lead foot and clean and press it overhead with your opposite arm. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulders. Rotate your wrist as you do so, so that the palm faces forward. Press it overhead by extending the elbow.; Keeping the kettlebell locked out at all times, push your butt out in the direction of the locked out kettlebell. Turn your feet out at a forty-five degree angle from the arm with the locked out kettlebell. Bending at the hip to one side, sticking your butt out, slowly lean until you can touch the floor with your free hand. Keep your eyes on the kettlebell that you hold over your head at all times.; Pause for a second after reaching the ground and reverse the motion back to the starting position.",,compound,Kettlebell Windmill,,Kettlebell Windmill,Kettlebell Windmill,,,abdominals,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,glutes; hamstrings; shoulders; triceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,intermediate,other,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Kipping%20Muscle%20Up.gif,yuhonas_Kipping_Muscle_Up,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Kipping_Muscle_Up/0.jpg,"Grip the rings using a false grip, with the base of your palms on top of the rings.; Begin with a movement swinging your legs backward slightly.; Counter that movement by swinging your legs forward and up, jerking your chin and chest back, pulling yourself up with both arms as you do so. As you reach the top position of the pull-up, pull the rings to your armpits as you roll your shoulders forward, allowing your elbows to move straight back behind you. This puts you into the proper position to continue into the dip portion of the movement.; Maintaining control and stability, extend through the elbow to complete the motion.; Use care when lowering yourself to the ground.",,compound,Kipping Muscle Up,,Kipping Muscle Up,Kipping Muscle Up,,,lats,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,abdominals; biceps; forearms; middle back; shoulders; traps; triceps,yuhonas/free-exercise-db,
Stretching,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,None,static,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Knee%20Across%20The%20Body.gif,yuhonas_Knee_Across_The_Body,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Knee_Across_The_Body/0.jpg,"Lie down on the floor with your right leg straight. Bend your left leg and lower it across your body, holding the knee down toward the floor with your right hand. (The knee doesn't need to touch the floor if you're tight.); Place your left arm comfortably beside you and turn your head to the left. Imagine you have a weight tied to your tailbone. let your tailbone fall back toward the floor as your chest reaches in the opposite direction to stretch your lower back. Switch sides.",,Compound,Knee Across The Body,,Knee Across The Body,Knee Across The Body,,,glutes,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,abductors; lower back,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,body only,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Knee%20Circles.gif,yuhonas_Knee_Circles,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Knee_Circles/0.jpg,Stand with your legs together and hands by your waist.; Now move your knees in a circular motion as you breathe normally.; Repeat for the recommended amount of repetitions.,,compound,Knee Circles,,Knee Circles,Knee Circles,,,calves,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,hamstrings; quadriceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,other,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Knee_Hip%20Raise%20On%20Parallel%20Bars.gif,yuhonas_Knee_Hip_Raise_On_Parallel_Bars,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Knee_Hip_Raise_On_Parallel_Bars/0.jpg,"Position your body on the vertical leg raise bench so that your forearms are resting on the pads next to the torso and holding on to the handles. Your arms will be bent at a 90 degree angle.; The torso should be straight with the lower back pressed against the pad of the machine and the legs extended pointing towards the floor. This will be your starting position.; Now as you breathe out, lift your legs up as you keep them extended. Continue this movement until your legs are roughly parallel to the floor and then hold the contraction for a second. Tip: Do not use any momentum or swinging as you perform this exercise.; Slowly go back to the starting position as you breathe in.; Repeat for the recommended amount of repetitions.",,isolation,Knee/Hip Raise On Parallel Bars,,Knee/Hip Raise On Parallel Bars,Knee/Hip Raise On Parallel Bars,,,abdominals,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,body only,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Knee%20Tuck%20Jump.gif,yuhonas_Knee_Tuck_Jump,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Knee_Tuck_Jump/0.jpg,"Begin in a comfortable standing position with your knees slightly bent. Hold your hands in front of you, palms down with your fingertips together at chest height. This will be your starting position.; Rapidly dip down into a quarter squat and immediately explode upward. Drive the knees towards the chest, attempting to touch them to the palms of the hands.; Jump as high as you can, raising your knees up, and then ensure a good land be re-extending your legs, absorbing impact through be allowing the knees to rebend.",,compound,Knee Tuck Jump,,Knee Tuck Jump,Knee Tuck Jump,,,hamstrings,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,abductors; adductors; calves; glutes; quadriceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,None,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Kneeling%20Arm%20Drill.gif,yuhonas_Kneeling_Arm_Drill,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Kneeling_Arm_Drill/0.jpg,"This drill helps increase arm efficiency during the run. Begin kneeling, left foot in front, right knee down. Apply pressure through the front heel to keep your glutes and hamstrings activated.; Begin by blocking the arms in long, pendulum like swings. Close the arm angle, blocking with the arms as you would when jogging, progressing to a run and finally a sprint.; As soon as your hands pass the hip, accelerate them forward during the sprinting motion to move them as quickly as possible.; Switch knees and repeat.",,Compound,Kneeling Arm Drill,,Kneeling Arm Drill,Kneeling Arm Drill,,,shoulders,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,abdominals,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,cable,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Kneeling%20Cable%20Crunch%20With%20Alternating%20Oblique%20Twists.gif,yuhonas_Kneeling_Cable_Crunch_With_Alternating_Oblique_Twists,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Kneeling_Cable_Crunch_With_Alternating_Oblique_Twists/0.jpg,"Connect a rope attachment to a high pulley cable and position a mat on the floor in front of it.; Grab the rope with both hands and kneel approximately two feet back from the tower.; Position the rope behind your head with your hands by your ears.; Keep your hands in the same place, contract your abs and pull downward on the rope in a crunching movement until your elbows reach your knees.; Pause briefly at the bottom and rise up in a slow and controlled manner until you reach the starting position.; Repeat the same downward movement until you're halfway down, at which time you'll begin rotating one of your elbows to the opposite knee.; Again, pause briefly at the bottom and rise up in a slow and controlled manner until you reach the starting position.; Repeat the same movement as before, but alternate the other elbow to the opposite knee.; Continue this series of movements to failure.",,isolation,Kneeling Cable Crunch With Alternating Oblique Twists,,Kneeling Cable Crunch With Alternating Oblique Twists,Kneeling Cable Crunch With Alternating Oblique Twists,,,abdominals,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,intermediate,cable,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Kneeling%20Cable%20Triceps%20Extension.gif,yuhonas_Kneeling_Cable_Triceps_Extension,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Kneeling_Cable_Triceps_Extension/0.jpg,"Place a bench sideways in front of a high pulley machine.; Hold a straight bar attachment above your head with your hands about 6 inches apart with your palms facing down.; Face away from the machine and kneel.; Place your head and the back of your upper arms on the bench. Your elbows should be bent with the forearms pointing towards the high pulley. This will be your starting position.; While keeping your upper arms close to your head at all times with the elbows in, press the bar out in a semicircular motion until the elbows are locked and your arms are parallel to the floor. Contract the triceps hard and keep this position for a second. Exhale as you perform this movement.; Slowly return to the starting position as you breathe in.; Repeat for the recommended amount of repetitions.",,isolation,Kneeling Cable Triceps Extension,,Kneeling Cable Triceps Extension,Kneeling Cable Triceps Extension,,,triceps,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,,yuhonas/free-exercise-db,
Stretching,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,None,static,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Kneeling%20Forearm%20Stretch.gif,yuhonas_Kneeling_Forearm_Stretch,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Kneeling_Forearm_Stretch/0.jpg,Start by kneeling on a mat with your palms flat and your fingers pointing back toward your knees.; Slowly lean back keeping your palms flat on the floor until you feel a stretch in your wrists and forearms. Hold for 20-30 seconds.,,isolation,Kneeling Forearm Stretch,,Kneeling Forearm Stretch,Kneeling Forearm Stretch,,,forearms,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,cable,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Kneeling%20High%20Pulley%20Row.gif,yuhonas_Kneeling_High_Pulley_Row,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Kneeling_High_Pulley_Row/0.jpg,"Select the appropriate weight using a pulley that is above your head. Attach a rope to the cable and kneel a couple of feet away, holding the rope out in front of you with both arms extended. This will be your starting position.; Initiate the movement by flexing the elbows and fully retracting your shoulders, pulling the rope toward your upper chest with your elbows out.; After pausing briefly, slowly return to the starting position.",,compound,Kneeling High Pulley Row,,Kneeling High Pulley Row,Kneeling High Pulley Row,,,lats,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,biceps; middle back,yuhonas/free-exercise-db,
Stretching,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,None,static,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Kneeling%20Hip%20Flexor.gif,yuhonas_Kneeling_Hip_Flexor,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Kneeling_Hip_Flexor/0.jpg,"Kneel on a mat and bring your right knee up so the bottom of your foot is on the floor and extend your left leg out behind you so the top of your foot is on the floor.; Shift your weight forward until you feel a stretch in your hip. Hold for 15 seconds, then repeat for your other side.",,isolation,Kneeling Hip Flexor,,Kneeling Hip Flexor,Kneeling Hip Flexor,,,quadriceps,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,quadriceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,expert,barbell,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Kneeling%20Jump%20Squat.gif,yuhonas_Kneeling_Jump_Squat,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Kneeling_Jump_Squat/0.jpg,"Begin kneeling on the floor with a barbell racked across the back of your shoulders, or you can use your body weight for this exercise. This can be done inside of a power rack to make unracking easier.; Sit back with your hips until your glutes touch your feet, keeping your head and chest up.; Explode up with your hips, generating enough power to land with your feet flat on the floor.; Continue with the squat by driving through your heels and extending the knees to come to a standing position.",,compound,Kneeling Jump Squat,,à¤¸à¥à¤•à¥à¤µà¤¾à¤Ÿ,à¤¸à¥à¤•à¥à¤µà¤¾à¤Ÿ,,,glutes,Maintain a neutral spine; Keep your knees aligned with your toes; Distribute weight through your heels; Brace your core before descending,calves; hamstrings; quadriceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,cable,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Kneeling%20Single-Arm%20High%20Pulley%20Row.gif,yuhonas_Kneeling_Single-Arm_High_Pulley_Row,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Kneeling_Single-Arm_High_Pulley_Row/0.jpg,"Attach a single handle to a high pulley and make your weight selection.; Kneel in front of the cable tower, taking the cable with one hand with your arm extended. This will be your starting position.; Starting with your palm facing forward, pull the weight down to your torso by flexing the elbow and retract the shoulder blade. As you do so, rotate the wrist so that at the completion of the movement, your palm is now facing you.; After a brief pause, return to the starting position.",,compound,Kneeling Single-Arm High Pulley Row,,Kneeling Single-Arm High Pulley Row,Kneeling Single-Arm High Pulley Row,,,lats,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,biceps; middle back,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,intermediate,barbell,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Kneeling%20Squat.gif,yuhonas_Kneeling_Squat,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Kneeling_Squat/0.jpg,"Set the bar to the proper height in a power rack. Kneel behind the bar; it may be beneficial to put a mat down to pad your knees. Slide under the bar, racking it across the back of your shoulders. Your shoulder blades should be retracted and the bar tight across your back. Unrack the weight.; With your head looking forward, sit back with your butt until you touch your calves.; Reverse the motion, returning the torso to an upright position.",,compound,Kneeling Squat,,à¤¸à¥à¤•à¥à¤µà¤¾à¤Ÿ,à¤¸à¥à¤•à¥à¤µà¤¾à¤Ÿ,,,glutes,Maintain a neutral spine; Keep your knees aligned with your toes; Distribute weight through your heels; Brace your core before descending,abdominals; hamstrings; lower back,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,barbell,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Landmine%20180's.gif,yuhonas_Landmine_180s,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Landmine_180s/0.jpg,"Position a bar into a landmine or securely anchor it in a corner. Load the bar to an appropriate weight.; Raise the bar from the floor, taking it to shoulder height with both hands with your arms extended in front of you. Adopt a wide stance. This will be your starting position.; Perform the movement by rotating the trunk and hips as you swing the weight all the way down to one side. Keep your arms extended throughout the exercise.; Reverse the motion to swing the weight all the way to the opposite side.; Continue alternating the movement until the set is complete.",,compound,Landmine 180's,,Landmine 180's,Landmine 180's,,,abdominals,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,glutes; lower back; shoulders,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,intermediate,barbell,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Landmine%20Linear%20Jammer.gif,yuhonas_Landmine_Linear_Jammer,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Landmine_Linear_Jammer/0.jpg,"Position a bar into landmine or, lacking one, securely anchor it in a corner. Load the bar to an appropriate weight and position the handle attachment on the bar.; Raise the bar from the floor, taking the handles to your shoulders. This will be your starting position.; In an athletic stance, squat by flexing your hips and setting your hips back, keeping your arms flexed.; Reverse the motion by powerfully extending through the hips, knees, and ankles, while also extending the elbows to straighten the arms. This movement should be done explosively, coming out of the squat to full extension as powerfully as possible.; Return to the starting position.",,compound,Landmine Linear Jammer,,Landmine Linear Jammer,Landmine Linear Jammer,,,shoulders,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,abdominals; calves; chest; hamstrings; quadriceps; triceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,body only,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Lateral%20Bound.gif,yuhonas_Lateral_Bound,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Lateral_Bound/0.jpg,"Assume a half squat position facing 90 degrees from your direction of travel. This will be your starting position.; Allow your lead leg to do a countermovement inward as you shift your weight to the outside leg.; Immediately push off and extend, attempting to bound to the side as far as possible.; Upon landing, immediately push off in the opposite direction, returning to your original start position.; Continue back and forth for several repetitions.",,compound,Lateral Bound,,Lateral Bound,Lateral Bound,,,adductors,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,abductors; calves; glutes; hamstrings; quadriceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,other,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Lateral%20Box%20Jump.gif,yuhonas_Lateral_Box_Jump,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Lateral_Box_Jump/0.jpg,"Assume a comfortable standing position, with a short box positioned next to you. This will be your starting position.; Quickly dip into a quarter squat to initiate the stretch reflex, and immediately reverse direction to jump up and to the side.; Bring your knees high enough to ensure your feet have good clearance over the box.; Land on the center of the box, using your legs to absorb the impact.; Carefully jump down to the other side of the box, and continue going back and forth for several repetitions.",,compound,Lateral Box Jump,,Lateral Box Jump,Lateral Box Jump,,,adductors,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,abductors; calves; glutes; hamstrings; quadriceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,other,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Lateral%20Cone%20Hops.gif,yuhonas_Lateral_Cone_Hops,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Lateral_Cone_Hops/0.jpg,"Position a number of cones in a row several feet apart.; Stand next to the end of the cones, facing 90 degrees to the direction of travel. This will be your starting position.; Begin the jump by dipping with the knees to initiate a stretch reflex, and immediately reverse direction to push off the ground, jumping up and sideways over the cone.; Use your legs to absorb impact upon landing, and rebound into the next jump, continuing down the row of cones.",,compound,Lateral Cone Hops,,Lateral Cone Hops,Lateral Cone Hops,,,adductors,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,abductors; calves; glutes; hamstrings; quadriceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,bands,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Lateral%20Raise%20-%20With%20Bands.gif,yuhonas_Lateral_Raise_-_With_Bands,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Lateral_Raise_-_With_Bands/0.jpg,"To begin, stand on an exercise band so that tension begins at arm's length. Grasp the handles using a pronated (palms facing your thighs) grip that is slightly less than shoulder width. The handles should be resting on the sides of your thighs. Your arms should be extended with a slight bend at the elbows and your back should be straight. This will be your starting position.; Use your side shoulders to lift the handles to the sides as you exhale. Continue to lift the handles until they are slightly above parallel. Tip: As you lift the handles, slightly tilt the hand as if you were pouring water and keep your arms extended. Also, keep your torso stationary and pause for a second at the top of the movement.; Lower the handles back down slowly to the starting position. Inhale as you perform this portion of the movement.; Repeat for the recommended amount of repetitions.",,isolation,Lateral Raise - With Bands,,Lateral Raise - With Bands,Lateral Raise - With Bands,,,shoulders,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,,yuhonas/free-exercise-db,
Stretching,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,foam roll,static,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Latissimus%20Dorsi-SMR.gif,yuhonas_Latissimus_Dorsi-SMR,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Latissimus_Dorsi-SMR/0.jpg,"While lying on the floor, place a foam roll under your back and to one side, just behind your arm pit. This will be your starting position.; Keep the arm of the side being stretched behind and to the side of you as you shift your weight onto your lats, keeping your upper body off of the ground. Hold for 10-30 seconds, and switch sides.",,isolation,Latissimus Dorsi-SMR,,Latissimus Dorsi-SMR,Latissimus Dorsi-SMR,,,lats,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,,yuhonas/free-exercise-db,
Strength,Arching the back excessively; Locking elbows too hard; Short range of motion,,intermediate,kettlebells,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Leg-Over%20Floor%20Press.gif,yuhonas_Leg-Over_Floor_Press,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Leg-Over_Floor_Press/0.jpg,"Lie on the floor with one kettlebell in place on your chest, holding it by the handle. Extend leg on working side over leg on non-working side.Your free arm can be extended out to your side for support.; Press the kettlebll into a locked out position.; Lower the weight until the elbow touches the ground, keeping the kettlebell above the elbow. Repeat for the desired number of repetitions.",,compound,Leg-Over Floor Press,,Leg-Over Floor Press,Leg-Over Floor Press,,,chest,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,shoulders; triceps,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,None,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Leg-Up%20Hamstring%20Stretch.gif,yuhonas_Leg-Up_Hamstring_Stretch,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Leg-Up_Hamstring_Stretch/0.jpg,"Lie flat on your back, bend one knee, and put that foot flat on the floor to stabilize your spine.; Extend the other leg in the air. If you're tight, you wont be able to straighten it. That's okay. Extend the knee so that the sole of the lifted foot faces the ceiling (or as close as you can get it).; Slowly straighten the legs as much as possible and then pull the leg toward your nose. Switch sides.",,isolation,Leg-Up Hamstring Stretch,,Leg-Up Hamstring Stretch,Leg-Up Hamstring Stretch,,,hamstrings,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,,yuhonas/free-exercise-db,
Strength,Using weight that is too heavy; Poor breathing technique; Rushing the repetitions,,beginner,machine,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Leg%20Extensions.gif,yuhonas_Leg_Extensions,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Leg_Extensions/0.jpg,"For this exercise you will need to use a leg extension machine. First choose your weight and sit on the machine with your legs under the pad (feet pointed forward) and the hands holding the side bars. This will be your starting position. Tip: You will need to adjust the pad so that it falls on top of your lower leg (just above your feet). Also, make sure that your legs form a 90-degree angle between the lower and upper leg. If the angle is less than 90-degrees then that means the knee is over the toes which in turn creates undue stress at the knee joint. If the machine is designed that way, either look for another machine or just make sure that when you start executing the exercise you stop going down once you hit the 90-degree angle.; Using your quadriceps, extend your legs to the maximum as you exhale. Ensure that the rest of the body remains stationary on the seat. Pause a second on the contracted position.; Slowly lower the weight back to the original position as you inhale, ensuring that you do not go past the 90-degree angle limit.; Repeat for the recommended amount of times.",,isolation,Leg Extensions,,Leg Extensions,Leg Extensions,,,quadriceps,Perform the movement in a slow and controlled manner; Stop immediately if you feel any sharp pain; Focus on the mind-muscle connection,,yuhonas/free-exercise-db,
